Jurassic World Dominion,09-06-2022,"Adventure, Action, Science Fiction", English,1001978080,165000000,AU,69
The Boss Baby: Christmas Bonus,06-12-2022,"Animation, Family, Adventure", English,455134472.8,51000000,US,68
Shazam!,04-04-2019,"Action, Comedy, Fantasy", English,363563907,85000000,AU,70
El último hombre sobre la Tierra,22-12-2022,Comedy," Spanish, Castilian",246367071,100000000,CO,65
All Quiet on the Western Front,13-10-2022,"Drama, War, History", German,326479707.4,20000000,AU,78
Violent Night,01-12-2022,"Action, Comedy, Crime, Thriller", English,76599607,20000000,AU,76
Scream,13-01-2022,"Horror, Mystery, Thriller", English,138874789,24000000,AU,67
Scream,13-01-2022,"Horror, Mystery, Thriller", English,173046640,15000000,AU,67
Devotion,20-01-2023,"War, History, Drama", English,20000000,90000000,AU,74
The Woman King,27-10-2022,"Action, Drama, History", English,94374749,50000000,AU,78
Evil Dead Rise,20-04-2023,"Horror, Thriller", English,469254456.2,132500000,AU,74
Perfect Addiction,16-02-2023,"Drama, Romance, Action", English,387664307.6,79800000,DE,67
Project Gemini,06-01-2022,"Science Fiction, Horror", English,308786595.8,134000000,RU,58
Doctor Strange in the Multiverse of Madness,05-05-2022,"Fantasy, Action, Adventure", English,952224986,200000000,AU,74
There Are No Saints,01-07-2022,"Action, Mystery, Thriller", English,194565354,136400000,AU,53
Avengers: Infinity War,25-04-2018,"Adventure, Action, Science Fiction", English,2048359754,300000000,AU,83
Smile,23-09-2022,"Horror, Mystery, Thriller", English,216049734,17000000,AU,68
¡Que Viva México!,23-03-2023,Comedy," Spanish, Castilian",947468745.8,100100000,MX,47
Detective Knight: Independence,20-01-2023,"Action, Crime, Thriller", English,772865923.6,134200000,US,56
Strange World,24-11-2022,"Animation, Family, Adventure, Science Fiction", English,69566884,135000000,AU,65
The Ten Commandments,12-12-1958,"Drama, History", English,85433929,13500000,AU,78
The Ten Commandments,12-12-1958,"Drama, History", English,1051907,10000000,AU,78
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,29-03-2019,"Action, Animation, Fantasy", Japanese,645532173.4,129000000,JP,80
Four's a Crowd,28-10-2022,Comedy," Spanish, Castilian",271669045.6,110000000,ES,63
Minions: The Rise of Gru,04-07-2022,"Animation, Comedy, Family", English,939200081,80000000,AU,75
Creed II,06-12-2018,Drama, English,213591522,50000000,AU,70
Creed,26-11-2015,Drama, English,173567581,37000000,AU,74
Beast,25-08-2022,"Thriller, Action, Horror, Adventure", English,59103794,36000000,AU,68
Fast X,19-05-2023,"Action, Crime, Thriller", English,0,340000000,US,0
My Name Is Vendetta,30-11-2022,"Action, Crime, Thriller", Italian,365992130.6,113000000,AU,68
Wrath of Man,29-04-2021,"Action, Crime, Thriller", English,103913405,40000000,AU,77
Jeepers Creepers: Reborn,22-09-2022,"Horror, Thriller, Mystery", English,5954938,5000000,AU,57
Turning Red,11-03-2022,"Animation, Family, Comedy, Fantasy", English,10964971,175000000,AU,75
Encanto,28-11-2021,"Animation, Comedy, Family, Fantasy", English,231120602,150000000,AU,76
Prancer: A Christmas Tale,22-11-2022,"Family, Fantasy", English,284184080,86800000,US,59
Magic Mike's Last Dance,09-02-2023,"Comedy, Drama, Romance", English,52000000,45000000,AU,72
"Lyle, Lyle, Crocodile",26-12-2022,"Comedy, Family, Music", English,107644101,50000000,AU,75
The Penitent Thief,25-02-2021,Drama, English,23800,15160689,AU,62
Hacksaw Ridge,07-10-2016,"Drama, History, War", English,169023926,40000000,AU,82
Venus,02-12-2022,"Drama, Horror, Thriller"," Spanish, Castilian",7818479,6000000,ES,55
The Offering,23-09-2022,Horror, English,134150172.6,103600000,US,57
Jujutsu Kaisen 0,17-03-2022,"Animation, Action, Fantasy", Japanese,195870885,21835777,AU,82
The Batman,02-03-2022,"Crime, Mystery, Thriller", English,766326717,200000000,AU,77
Life in a Year,27-11-2020,"Drama, Romance", English,627851111.8,90000000,US,83
Super Mario Brothers: Great Mission to Rescue Princess Peach,20-07-1986,"Animation, Comedy, Fantasy", Japanese,675230189,151600000,JP,60
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",26-12-2005,"Adventure, Family, Fantasy", English,745013115,180000000,AU,71
The Exorcism of God,01-07-2022,Horror, English,123516163.2,1500000,AU,72
Ghosts of the Ozarks,04-02-2022,"Western, Horror, Mystery", English,548624602.6,113000000,US,63
Kompromat,01-12-2022,"Thriller, Drama", French,302915354,155140000,AU,65
Matadero,09-12-2022,Drama," Spanish, Castilian",346352260.6,73800000,ES,60
Air,05-04-2023,Drama, English,5000000,28519270.6,AU,79
Disenchanted,18-11-2022,"Comedy, Family, Fantasy", English,524597714.8,142600000,AU,70
Luck,05-08-2022,"Animation, Adventure, Comedy, Fantasy", English,721203091.4,147000000,AU,79
Bullet Train,04-08-2022,"Action, Comedy, Thriller", English,238534963,85900000,AU,75
Night at the Museum: Kahmunrah Rises Again,09-12-2022,"Animation, Comedy, Family, Fantasy", English,508761361.2,124400000,US,69
Blade of the 47 Ronin,25-10-2022,"Action, Drama, Fantasy, Thriller", English,431341845.4,131000000,AU,67
Sing 2,26-12-2021,"Animation, Family", English,404655351,85000000,AU,80
Shark Bait,06-06-2022,"Horror, Thriller, Action, Adventure", English,591557010.2,106000000,GB,59
Shrek,21-06-2001,"Animation, Comedy, Fantasy, Adventure, Family", English,491812794,50000000,AU,77
Orgasm Inc: The Story of OneTaste,05-11-2022,Documentary, English,431611098,77400000,US,64
In His Shadow,17-03-2023,"Drama, Thriller, Crime", French,407446362.4,133000000,FR,62
Savage Salvation,02-12-2022,Thriller, English,244880855.2,85645,US,66
Sisu,27-01-2023,"War, Action", Finnish,58748957.6,6200000,FI,74
"Tango, Tequila and Some Lies",09-03-2023,"Comedy, Romance"," Spanish, Castilian",667037174.8,105800000,MX,77
Hotel Transylvania: Transformania,14-01-2022,"Animation, Comedy, Family, Fantasy, Adventure", English,557205138.2,116000000,AU,71
Operation Fortune: Ruse de Guerre,12-01-2023,"Action, Thriller, Comedy", English,35800000,50000000,AU,67
Kids vs. Aliens,20-01-2023,"Science Fiction, Horror, Adventure, Action", English,514828593.6,143200000,US,60
Everything Everywhere All at Once,14-04-2022,"Action, Adventure, Science Fiction", English,114900000,25000000,AU,79
Glass Onion: A Knives Out Mystery,23-11-2022,"Comedy, Crime, Mystery", English,13280000,40000000,AU,71
Suro,02-12-2022,"Thriller, Drama"," Catalan, Valencian",522029092.4,80000000,ES,73
The Lair,25-08-2022,"Horror, Action", English,307351568.6,118200000,GB,59
My Hero Academia: World Heroes' Mission,28-10-2021,"Animation, Action, Adventure, Science Fiction", Japanese,38410729,27164600,AU,76
Unhappily Ever After,26-01-2023,"Comedy, Romance"," Spanish, Castilian",1109873157,149000000,MX,81
Evil Eye,22-09-2022,Horror," Spanish, Castilian",223147806.6,1704500,MX,68
Inspector Sun and the Curse of the Black Widow,28-12-2022,"Animation, Family"," Spanish, Castilian",494358731.6,98140000,ES,68
The Price We Pay,13-01-2023,"Action, Thriller, Mystery, Crime, Horror", English,985255868.8,126800000,US,60
Lupin The 3rd vs. Cat’s Eye,27-01-2023,"Animation, Action, Adventure, Comedy", Japanese,367393887.6,89600000,AU,60
Murder Mystery,25-05-2019,"Comedy, Mystery", English,205809600.8,24000000,AU,63
Luz Mala,17-11-2022,Horror," Spanish, Castilian",817860943.8,87600000,AR,43
Babylon,19-01-2023,"Drama, Comedy", English,63262638,110000000,AU,75
The Lost City,30-03-2022,"Action, Adventure, Comedy", English,182921990,74000000,AU,66
The Lost City,30-03-2022,"Action, Adventure, Comedy", English,5256839,9600000,AU,66
Detective Knight: Rogue,21-10-2022,"Action, Crime, Thriller", English,725034225.6,50000000,US,67
Cop Secret,20-10-2021,"Comedy, Action, Thriller", Icelandic,651717830,58100000,IS,61
The Quintessential Quintuplets Movie,01-12-2022,"Animation, Comedy, Romance", Japanese,17288993,2937023.8,AU,84
Harry Potter and the Chamber of Secrets,28-11-2002,"Adventure, Fantasy", English,874954530,100000000,AU,77
Kill Boksoon,31-03-2023,"Action, Thriller, Crime", Korean,763309047,119100000,KR,69
Candy Land,06-01-2023,"Horror, Thriller", English,492646395.4,54060000,US,65
Venom: Let There Be Carnage,25-11-2021,"Science Fiction, Action, Adventure", English,506863592,110000000,AU,69
Harry Potter and the Philosopher's Stone,29-11-2001,"Adventure, Fantasy", English,976475550,125000000,AU,79
On the Count of Three,29-09-2022,"Comedy, Drama", English,354385756.2,101600000,AU,66
Uncharted,17-02-2022,"Action, Adventure", English,400689914,120000000,AU,70
DC League of Super-Pets,03-09-2022,"Animation, Action, Family, Comedy, Science Fiction", English,203000000,90000000,AU,74
Moonfall,03-02-2022,Science Fiction, English,59053195,150000000,AU,64
Athena,23-09-2022,Drama, French,509726081,75500000,FR,67
Unicorn Wars,21-10-2022,"Action, Animation, Comedy, Fantasy, Horror, War"," Spanish, Castilian",27833,50610000,ES,64
Teen Wolf: The Movie,27-01-2023,"Action, Fantasy, TV Movie", English,327346026.2,150400000,AU,78
Fantastic Beasts: The Secrets of Dumbledore,07-04-2022,"Fantasy, Adventure, Family", English,404560145,200000000,AU,68
Cars 3,22-06-2017,"Animation, Adventure, Comedy, Family", English,383541369,175000000,AU,69
The Ledge,18-02-2022,"Thriller, Adventure", English,249984799.4,2500000,US,66
The Big 4,15-12-2022,"Action, Comedy, Crime", Indonesian,339023160.4,98840000,ID,71
Interstellar,06-11-2014,"Adventure, Drama, Science Fiction", English,648082655,165000000,AU,84
Viking Wolf,03-02-2023,"Horror, Thriller, Mystery", Norwegian,405888913.2,139000000,AU,59
20th Century Girl,06-10-2022,"Romance, Drama", Korean,77132590.4,119,KR,83
The Soccer Football Movie,09-11-2022,"Animation, Comedy, Family", English,798590398.8,79000000,US,61
Boston Strangler,17-03-2023,"Thriller, Drama, Crime", English,521124690.4,117000000,AU,67
Close,16-02-2023,Drama, French,3129968,26523270.6,AU,78
Coraline,06-08-2009,"Animation, Family, Fantasy", English,126037057,60000000,AU,78
Luther: The Fallen Sun,23-03-2023,"Thriller, Crime, Action, Mystery", English,513441742.2,111400000,AU,69
Harry Potter and the Goblet of Fire,01-12-2005,"Adventure, Fantasy, Family", English,886742787,150000000,AU,78
Piggy,14-10-2022,"Thriller, Drama, Horror"," Spanish, Castilian",380512,2400000,ES,66
Orphan: First Kill,01-09-2022,"Horror, Thriller", English,9572765,51489867,AU,68
Fullmetal Alchemist: The Final Alchemy,24-06-2022,"Action, Adventure, Fantasy", Japanese,514445172.4,133200000,JP,63
Malcriados,15-02-2023,Comedy," Spanish, Castilian",586907459,116600000,MX,78
Polar,26-10-2022,"Action, Adventure, Thriller"," Spanish, Castilian",325759805.4,118000000,ES,66
Jesus,19-10-1979,"Drama, History", English,600820848.4,179800000,US,83
Harry Potter and the Half-Blood Prince,15-07-2009,"Adventure, Fantasy", English,929411069,250000000,AU,77
Legend of the Galactic Heroes: Die Neue These - Intrigue 1,30-09-2022,Animation, Japanese,337725907.8,138000000,JP,61
Noise,17-03-2023,"Drama, Thriller"," Dutch, Flemish",1052163302,147200000,US,49
The Infernal Machine,23-09-2022,"Thriller, Mystery", English,367763875.4,88200000,US,66
Abandoned,17-06-2022,"Horror, Mystery, Thriller", English,384573450.8,97760000,US,63
The Ten Commandments: The Movie,28-01-2016,Drama, Portuguese,37070177,39307171,BR,72
The Avengers,25-04-2012,"Science Fiction, Action, Adventure", English,1515100211,225000000,AU,77
The Avengers,25-04-2012,"Science Fiction, Action, Adventure", English,48585416,60000000,AU,77
Still Time,22-10-2022,"Romance, Comedy, Drama", Italian,405994737.6,138000000,IT,65
Exodus: Gods and Kings,11-12-2014,"Adventure, Drama, Action", English,268314513,140000000,AU,58
Wolf Hound,01-09-2022,"War, Action", English,491960363.2,142000000,AU,66
The Little Mermaid,26-05-2023,"Adventure, Family, Fantasy, Romance", English,178359863,205000000,US,0
F9,17-06-2021,"Action, Adventure, Crime, Thriller", English,726229501,200000000,AU,72
The Wolf of Wall Street,22-01-2014,"Crime, Drama, Comedy", English,389816136,100000000,AU,80
Pinball: The Man Who Saved the Game,17-03-2023,"Comedy, Drama, History, Romance", English,469006626.2,146000000,US,78
"Tad, the Lost Explorer and the Emerald Tablet",08-12-2022,"Animation, Adventure, Comedy, Family, Fantasy"," Spanish, Castilian",379074781.8,119200000,AU,76
Brothers,18-03-2010,"Drama, Thriller, War", English,45043870,26000000,AU,73
Brothers,18-03-2010,"Drama, Thriller, War", English,17856688,13000000,AU,73
Harry Potter and the Prisoner of Azkaban,03-06-2004,"Adventure, Fantasy", English,789592708,130000000,AU,80
Out of the Blue,20-10-2022,"Thriller, Romance", English,731767,4600000,AU,46
RRR,25-03-2022,"Action, Drama", Telugu,160000000,69000000,AU,78
Broker,30-03-2023,"Drama, Comedy", Korean,18632208,28648000,AU,72
The Black Phone,30-06-2022,"Horror, Thriller", English,161440742,17000000,AU,78
Tom and Jerry Snowman's Land,15-11-2022,"Family, Comedy, Animation, Adventure", English,689333138,57440000,US,69
Transformers: Rise of the Beasts,09-06-2023,"Action, Adventure, Science Fiction", English,1240261.6,200000000,US,0
Avengers: Endgame,24-04-2019,"Adventure, Science Fiction, Action", English,2794731755,400000000,AU,83
Spider-Man: Across the Spider-Verse,02-06-2023,"Animation, Action, Adventure, Science Fiction", English,175269998.8,264940000,US,0
MexZombies,26-10-2022,"Horror, Action, Comedy"," Spanish, Castilian",486333316,74400000,US,71
Harry Potter and the Order of the Phoenix,11-07-2007,"Adventure, Fantasy, Mystery", English,939619849,150000000,AU,77
The Northman,21-04-2022,"Action, Adventure, Fantasy", English,69633110,70000000,AU,71
I Believe,07-11-2017,"Family, Drama", English,683545513.4,127600000,US,70
Blue's Big City Adventure,18-11-2022,"Family, Adventure, Music, Animation", English,352601141.6,132000000,AU,74
After Ever Happy,08-09-2022,"Romance, Drama", English,12467270,24220050,AU,69
On the Line,17-11-2022,Thriller, English,16222303,10000000,AU,62
Ben-Hur,12-05-1960,"Action, Drama, History", English,91669648,95000000,AU,79
Ben-Hur,12-05-1960,"Action, Drama, History", English,73259017,15000000,AU,79
The Next 365 Days,19-08-2022,"Romance, Drama", Polish,534358853.4,111600000,US,65
Hocus Pocus 2,30-09-2022,"Fantasy, Comedy, Family", English,0,40000000,AU,74
Morbius,31-03-2022,"Action, Science Fiction, Fantasy", English,162759437,75000000,AU,62
Cars 2,11-06-2011,"Animation, Family, Adventure, Comedy", English,560155383,200000000,AU,61
Tangled,06-01-2011,"Animation, Family", English,583777242,260000000,AU,76
The Minute You Wake Up Dead,01-02-2023,"Thriller, Crime", English,351483918,170000000,AU,57
Fifty Shades of Grey,12-02-2015,"Drama, Romance, Thriller", English,570794950,40000000,AU,59
Harry Potter and the Deathly Hallows: Part 2,13-07-2011,"Fantasy, Adventure", English,1341511219,125000000,AU,81
The Help,01-09-2011,Drama, English,213120004,25000000,AU,82
"Monsters, Inc.",26-12-2001,"Animation, Comedy, Family", English,560483719,115000000,AU,78
The Ice Age Adventures of Buck Wild,25-03-2022,"Animation, Comedy, Adventure, Family", English,508164908,143000000,AU,67
Samaritan,25-08-2022,"Action, Crime, Science Fiction", English,380428883,100000000,US,68
Godzilla vs. Kong,24-03-2021,"Action, Fantasy, Science Fiction", English,468043852,155000000,AU,77
Paradise City,01-01-2023,"Action, Crime, Thriller", English,161597374.4,20000000,AU,58
Shang-Chi and the Legend of the Ten Rings,02-09-2021,"Action, Adventure, Fantasy", English,432224634,150000000,AU,76
Zack Snyder's Justice League,18-03-2021,"Action, Adventure, Fantasy, Science Fiction", English,136635234.2,70000000,AU,82
Lightyear,16-06-2022,"Animation, Action, Adventure, Family, Science Fiction", English,218768299,200000000,AU,71
Ritual,07-09-2022,Thriller," Dutch, Flemish",502443287.6,102400000,BE,71
Love at First Kiss,03-03-2023,"Romance, Comedy"," Spanish, Castilian",324436308.4,178400000,US,62
The Last Client,20-06-2022,"Thriller, Crime", Danish,426175485.2,149400000,DK,76
Suzume,13-04-2023,"Animation, Drama, Adventure, Fantasy", Japanese,102258981,8224023.8,AU,82
Pirates of the Caribbean: At World's End,24-05-2007,"Adventure, Fantasy, Action", English,961000000,300000000,AU,72
King Shakir Recycle,14-07-2022,"Animation, Adventure, Family, Action, Comedy, Science Fiction", Turkish,387787979,87200000,TR,57
